Tanggal;Cianjur_Kepala;Muncul_III;IR_64_III;IR_42;Ketan_Putih_Biasa
2018-09-25;13200;8800;8800;11375;10875
2018-09-24;13200;8875;8850;11400;10875
2018-09-23;13225;9000;8675;11400;10850
2018-09-22;13225;9000;8675;11400;10850
2018-09-21;13225;9000;8675;11400;10850
2018-09-20;13075;9000;8725;11475;10900
2018-09-19;13175;8900;8750;11525;10900
2018-09-18;13250;8900;8700;11700;11150
2018-09-17;13275;8900;8750;11800;11050
2018-09-16;13300;8900;8825;11950;11150
2018-09-15;13300;8900;8825;11950;11150
2018-09-14;13300;8900;8825;11950;11150
2018-09-13;13400;8875;8775;12000;11100
2018-09-12;13400;9175;8775;12150;11375
2018-09-11;13400;9050;8675;12150;11400
2018-09-10;13400;9050;8675;12150;11400
2018-09-09;13450;9050;8775;12175;11300
2018-09-08;13450;9050;8775;12175;11300
2018-09-07;13450;9050;8775;12175;11300
2018-09-06;13275;9150;8875;12175;11350
2018-09-05;13425;9050;8800;12075;11425
2018-09-04;13375;9250;8800;12250;11300
2018-09-03;13375;9100;8800;12250;11300
2018-09-02;13350;9000;8850;12225;11300
2018-09-01;13350;9000;8850;12225;11300
